Hit Count,Page No,Product URL,Product Name,Product Price,Rating,Number of Reviews
63,4,https://www.amazon.in//DZert-Kids-Grey-School-Years/dp/B07QD1M3R9/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-67,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),219,3.7,"3,007"
64,4,https://www.amazon.in//Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-68,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),"2,239",3.9,402
65,5,https://www.amazon.in//Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGX84G/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1679491605&sprefix=ba%2Caps%2C283&sr=8-67,"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",989,4.4,347
66,5,https://www.amazon.in//Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1679491605&sprefix=ba%2Caps%2C283&sr=8-68,NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag,449,4.2,"7,282"
67,5,https://www.amazon.in//HAMMONDS-FLYCATCHER-Genuine-Shoulder-Messenger/dp/B07P2TQH78/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1679491605&sprefix=ba%2Caps%2C283&sr=8-69,"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook| Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |","2,599",4.3,"4,688"
68,5,https://www.amazon.in//Lify-Womens-Shoulder-Crossbody-Handbag/dp/B09JWMW646/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1679491605&sprefix=ba%2Caps%2C283&sr=8-70,Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,320,3.8,"1,321"
69,5,https://www.amazon.in//Resistant-Duffle-Shoulder-Separate-Compartment/dp/B09KVBSG61/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1679491605&sprefix=ba%2Caps%2C283&sr=8-71,"Wooum Polyester 23 cms Gym Bag Sport Outdoor Bag, Shoulder Bag Side Bag with Separate Shoes Compartment Water Resistance - Dark Grey",397.,4.2,466
70,5,https://www.amazon.in//Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1679491605&sprefix=ba%2Caps%2C283&sr=8-72,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",599,3.8,684
71,5,https://www.amazon.in//BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1679491605&sprefix=ba%2Caps%2C283&sr=8-73,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,512,4.0,"5,229"
72,5,https://www.amazon.in//BESTAQUA-Capacity-Cosmetic-Cosmetics-Organizer/dp/B0BW62ZR8N/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1679491605&sprefix=ba%2Caps%2C283&sr=8-74,"BESTAQUA Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider,Makeup Organizer Bags(Multi)",799,1.0,1
